dex_number,name,type_01,type_02,ability_01,ability_02,hidden_ability,egg_group_01,egg_group_02,is_legendary,hp,attack,defense,sp_attack,sp_defense,speed,BST,type_combo,cluster,cluster2,class
#0024,Arbok,Poison,None,Intimidate, Shed,Unnerve,Field, Dragon,False,60,85,69,65,79,80,438,Poison/None,3,3,Fast Sweeper
#0025,Pikachu,Electric,None,Static,None,Lightning Rod,Field, Fairy\xa0or No Eggs DiscoveredCosplay/Cap,False,35,55,30,50,40,90,300,Electric/None,1,1,Underpowered
#0026,Raichu,Electric,None,Static,None,Lightning Rod,Field, Fairy,False,60,90,55,90,80,100,475,Electric/None,3,3,Fast Sweeper
#0027,Sandshrew,Ground,None,Sand,None,Sand Rush,Field,None,False,50,75,85,20,30,40,300,Ground/None,1,1,Underpowered
#0028,Sandslash,Ground,None,Sand,None,Sand Rush,Field,None,False,75,100,110,45,55,65,450,Ground/None,2,2,balanced
#0029,Nidoran♀,Poison,None,Poison, Rivalry,Hustle,Monster, Field,False,55,47,52,40,40,41,275,Poison/None,1,1,Underpowered
#0030,Nidorina,Poison,None,Poison, Rivalry,Hustle,No Eggs Discovered,None,False,70,62,67,55,55,56,365,Poison/None,1,1,Underpowered
#0031,Nidoqueen,Poison,Ground,Poison, Rivalry,Sheer Force,No Eggs Discovered,None,False,90,82,87,75,85,76,495,Poison/Ground,2,0,Tank
#0032,Nidoran♂,Poison,None,Poison, Rivalry,Hustle,Monster, Field,False,46,57,40,40,40,50,273,Poison/None,1,1,Underpowered
#0033,Nidorino,Poison,None,Poison, Rivalry,Hustle,Monster, Field,False,61,72,57,55,55,65,365,Poison/None,1,1,Underpowered
#0034,Nidoking,Poison,Ground,Poison, Rivalry,Sheer Force,Monster, Field,False,81,92,77,85,75,85,495,Poison/Ground,3,0,Tank
#0035,Clefairy,Fairy,None,Cute, Magic,Friend Guard,Fairy,None,False,70,45,48,60,65,35,323,Fairy/None,1,1,Underpowered
#0036,Clefable,Fairy,None,Cute, Magic,Unaware,Fairy,None,False,95,70,73,85,90,60,473,Fairy/None,2,0,Tank
#0037,Vulpix,Fire,None,Flash,None,Drought,Field,None,False,38,41,40,50,65,65,299,Fire/None,1,1,Underpowered
#0038,Ninetales,Fire,None,Flash,None,Drought,Field,None,False,73,76,75,81,100,100,505,Fire/None,3,0,Tank
#0039,Jigglypuff,Normal,Fairy,Cute, Competitive,Friend Guard,Fairy,None,False,115,45,20,45,25,20,270,Normal/Fairy,1,1,Underpowered
#0040,Wigglytuff,Normal,Fairy,Cute, Competitive,Frisk,Fairy,None,False,140,70,45,75,50,45,425,Normal/Fairy,3,2,balanced
#0041,Zubat,Poison,Flying,Inner,None,Infiltrator,Flying,None,False,40,45,35,30,40,55,245,Poison/Flying,1,1,Underpowered
#0042,Golbat,Poison,Flying,Inner,None,Infiltrator,Flying,None,False,75,80,70,65,75,90,455,Poison/Flying,3,3,Fast Sweeper
#0043,Oddish,Grass,Poison,Chlorophyll,None,Run Away,Grass,None,False,45,50,55,75,65,30,320,Grass/Poison,1,1,Underpowered
#0044,Gloom,Grass,Poison,Chlorophyll,None,Stench,Grass,None,False,60,65,70,85,75,40,395,Grass/Poison,3,2,balanced
#0045,Vileplume,Grass,Poison,Chlorophyll,None,Effect Spore,Grass,None,False,75,80,85,100,90,50,480,Grass/Poison,2,2,balanced
#0046,Paras,Bug,Grass,Effect, Dry,Damp,Bug, Grass,False,35,70,55,45,55,25,285,Bug/Grass,1,1,Underpowered
#0047,Parasect,Bug,Grass,Effect, Dry,Damp,Bug, Grass,False,60,95,80,60,80,30,405,Bug/Grass,2,2,balanced
#0048,Venonat,Bug,Poison,Compound, Tinted,Run Away,Bug,None,False,60,55,50,40,55,45,305,Bug/Poison,1,1,Underpowered
#0049,Venomoth,Bug,Poison,Shield, Tinted,Wonder Skin,Bug,None,False,70,65,60,90,75,90,450,Bug/Poison,3,3,Fast Sweeper
#0050,Diglett,Ground,None,Sand, Arena,Sand Force,Field,None,False,10,55,25,35,45,95,265,Ground/None,1,1,Underpowered
#0051,Dugtrio,Ground,None,Sand, Arena,Sand Force,Field,None,False,35,80,50,50,70,120,405,Ground/None,3,3,Fast Sweeper
#0052,Meowth,Normal,None,Pickup, Technician,Unnerve and Galarian,Field,None,False,40,45,35,40,40,90,290,Normal/None,1,1,Underpowered
#0053,Persian,Normal,None,Limber, Technician,Unnerve,Field,None,False,65,70,60,65,65,115,440,Normal/None,3,3,Fast Sweeper
#0054,Psyduck,Water,None,Damp, Cloud,Swift Swim,Water 1, Field,False,50,52,48,65,50,55,320,Water/None,1,1,Underpowered
#0055,Golduck,Water,None,Damp, Cloud,Swift Swim,Water 1, Field,False,80,82,78,95,80,85,500,Water/None,3,0,Tank
#0056,Mankey,Fighting,None,Vital, Anger,Defiant,Field,None,False,40,80,35,35,45,70,305,Fighting/None,1,1,Underpowered
#0057,Primeape,Fighting,None,Vital, Anger,Defiant,Field,None,False,65,105,60,60,70,95,455,Fighting/None,3,3,Fast Sweeper
#0058,Growlithe,Fire,None,Intimidate, Flash,Justified,Field,None,False,55,70,45,70,50,60,350,Fire/None,1,1,Underpowered
#0059,Arcanine,Fire,None,Intimidate, Flash,Justified,Field,None,False,90,110,80,100,80,95,555,Fire/None,0,0,Tank
#0060,Poliwag,Water,None,Water, Damp,Swift Swim,Water 1,None,False,40,50,40,40,40,90,300,Water/None,1,1,Underpowered
#0061,Poliwhirl,Water,None,Water, Damp,Swift Swim,Water 1,None,False,65,65,65,50,50,90,385,Water/None,3,1,Underpowered
#0062,Poliwrath,Water,Fighting,Water, Damp,Swift Swim,Water 1,None,False,90,85,95,70,90,70,500,Water/Fighting,2,0,Tank
#0063,Abra,Psychic,None,Synchronize, Inner,Magic Guard,Human-Like,None,False,25,20,15,105,55,90,310,Psychic/None,1,3,Fast Sweeper
#0064,Kadabra,Psychic,None,Synchronize, Inner,Magic Guard,Human-Like,None,False,40,35,30,120,70,105,400,Psychic/None,3,3,Fast Sweeper
#0065,Alakazam,Psychic,None,Synchronize, Inner,Magic Guard,Human-Like,None,False,55,50,45,135,85,120,490,Psychic/None,3,3,Fast Sweeper
#0066,Machop,Fighting,None,Guts, No,Steadfast,Human-Like,None,False,70,80,50,35,35,35,305,Fighting/None,1,1,Underpowered
#0067,Machoke,Fighting,None,Guts, No,Steadfast,Human-Like,None,False,80,100,70,50,60,45,405,Fighting/None,2,2,balanced
#0068,Machamp,Fighting,None,Guts, No,Steadfast,Human-Like,None,False,90,130,80,65,85,55,505,Fighting/None,2,2,balanced
#0069,Bellsprout,Grass,Poison,Chlorophyll,None,Gluttony,Grass,None,False,50,75,35,70,30,40,300,Grass/Poison,1,1,Underpowered
#0070,Weepinbell,Grass,Poison,Chlorophyll,None,Gluttony,Grass,None,False,65,90,50,85,45,55,390,Grass/Poison,3,1,Underpowered
#0071,Victreebel,Grass,Poison,Chlorophyll,None,Gluttony,Grass,None,False,80,105,65,100,60,70,480,Grass/Poison,3,0,Tank
#0072,Tentacool,Water,Poison,Clear, Liquid,Rain Dish,Water 3,None,False,40,40,35,50,100,70,335,Water/Poison,1,1,Underpowered
#0073,Tentacruel,Water,Poison,Clear, Liquid,Rain Dish,Water 3,None,False,80,70,65,80,120,100,515,Water/Poison,0,0,Tank
#0074,Geodude,Rock,Ground,Rock, Sturdy,Sand Veil,Mineral,None,False,40,80,100,30,30,20,300,Rock/Ground,1,1,Underpowered
#0075,Graveler,Rock,Ground,Rock, Sturdy,Sand Veil,Mineral,None,False,55,95,115,45,45,35,390,Rock/Ground,2,2,balanced
#0076,Golem,Rock,Ground,Rock, Sturdy,Sand Veil,Mineral,None,False,80,110,130,55,65,45,485,Rock/Ground,2,2,balanced
#0077,Ponyta,Fire,None,Run, Flash,Flame Body,Field,None,False,50,85,55,65,65,90,410,Fire/None,3,3,Fast Sweeper
#0078,Rapidash,Fire,None,Run, Flash,Flame Body,Field,None,False,65,100,70,80,80,105,500,Fire/None,3,3,Fast Sweeper
#0079,Slowpoke,Water,Psychic,Oblivious, Own,Regenerator,Monster, Water 1,False,90,65,65,40,40,15,315,Water/Psychic,1,1,Underpowered
#0080,Slowbro,Water,Psychic,Oblivious, Own,Regenerator,Monster, Water 1,False,95,75,110,100,80,30,490,Water/Psychic,2,2,balanced
#0081,Magnemite,Electric,Steel,Magnet, Sturdy,Analytic,Mineral,None,False,25,35,70,95,55,45,325,Electric/Steel,1,1,Underpowered
#0082,Magneton,Electric,Steel,Magnet, Sturdy,Analytic,Mineral,None,False,50,60,95,120,70,70,465,Electric/Steel,3,3,Fast Sweeper
#0083,Farfetch'd,Normal,Flying,Keen, Inner,Defiant,Flying, Field,False,52,65,55,58,62,60,352,Normal/Flying,1,1,Underpowered
#0084,Doduo,Normal,Flying,Run, Early,Tangled Feet,Flying,None,False,35,85,45,35,35,75,310,Normal/Flying,1,1,Underpowered
#0085,Dodrio,Normal,Flying,Run, Early,Tangled Feet,Flying,None,False,60,110,70,60,60,100,460,Normal/Flying,3,3,Fast Sweeper
#0086,Seel,Water,None,Thick, Hydration,Ice Body,Water 1, Field,False,65,45,55,45,70,45,325,Water/None,1,1,Underpowered
#0087,Dewgong,Water,Ice,Thick, Hydration,Ice Body,Water 1, Field,False,90,70,80,70,95,70,475,Water/Ice,2,0,Tank
#0088,Grimer,Poison,None,Stench, Sticky,Poison Touch,Amorphous,None,False,80,80,50,40,50,25,325,Poison/None,1,1,Underpowered
#0089,Muk,Poison,None,Stench, Sticky,Poison Touch,Amorphous,None,False,105,105,75,65,100,50,500,Poison/None,2,2,balanced
#0090,Shellder,Water,None,Shell, Skill,Overcoat,Water 3,None,False,30,65,100,45,25,40,305,Water/None,1,1,Underpowered
#0091,Cloyster,Water,Ice,Shell, Skill,Overcoat,Water 3,None,False,50,95,180,85,45,70,525,Water/Ice,2,2,balanced
#0092,Gastly,Ghost,Poison,Levitate,None,None,Amorphous,None,False,30,35,30,100,35,80,310,Ghost/Poison,1,1,Underpowered
#0093,Haunter,Ghost,Poison,Levitate,None,None,Amorphous,None,False,45,50,45,115,55,95,405,Ghost/Poison,3,3,Fast Sweeper
#0094,Gengar,Ghost,Poison,Cursed,None,None,Amorphous,None,False,60,65,60,130,75,110,500,Ghost/Poison,3,3,Fast Sweeper
#0095,Onix,Rock,Ground,Rock, Sturdy,Weak Armor,Mineral,None,False,35,45,160,30,45,70,385,Rock/Ground,2,2,balanced
#0096,Drowzee,Psychic,None,Insomnia, Forewarn,Inner Focus,Human-Like,None,False,60,48,45,43,90,42,328,Psychic/None,1,1,Underpowered
#0097,Hypno,Psychic,None,Insomnia, Forewarn,Inner Focus,Human-Like,None,False,85,73,70,73,115,67,483,Psychic/None,2,0,Tank
#0098,Krabby,Water,None,Hyper, Shell,Sheer Force,Water 3,None,False,30,105,90,25,25,50,325,Water/None,1,1,Underpowered
#0099,Kingler,Water,None,Hyper, Shell,Sheer Force,Water 3,None,False,55,130,115,50,50,75,475,Water/None,2,2,balanced
#0100,Voltorb,Electric,None,Soundproof, Static,Aftermath,Mineral,None,False,40,30,50,55,55,100,330,Electric/None,1,1,Underpowered
#0101,Electrode,Electric,None,Soundproof, Static,Aftermath,Mineral,None,False,60,50,70,80,80,140,480,Electric/None,3,3,Fast Sweeper
#0102,Exeggcute,Grass,Psychic,Chlorophyll,None,Harvest,Grass,None,False,60,40,80,60,45,40,325,Grass/Psychic,1,1,Underpowered
#0103,Exeggutor,Grass,Psychic,Chlorophyll,None,Harvest,Grass,None,False,95,95,85,125,65,55,520,Grass/Psychic,0,0,Tank
#0104,Cubone,Ground,None,Rock, Lightning,Battle Armor,Monster,None,False,50,50,95,40,50,35,320,Ground/None,1,1,Underpowered
#0105,Marowak,Ground,None,Rock, Lightning,Battle Armor,Monster,None,False,60,80,110,50,80,45,425,Ground/None,2,2,balanced
#0106,Hitmonlee,Fighting,None,Limber, Reckless,Unburden,Human-Like,None,False,50,120,53,35,110,87,455,Fighting/None,3,3,Fast Sweeper
#0107,Hitmonchan,Fighting,None,Keen, Iron,Inner Focus,Human-Like,None,False,50,105,79,35,110,76,455,Fighting/None,2,2,balanced
#0108,Lickitung,Normal,None,Own, Oblivious,Cloud Nine,Monster,None,False,90,55,75,60,75,30,385,Normal/None,2,2,balanced
#0109,Koffing,Poison,None,Levitate, Neutralizing GasGen ,Stench,Amorphous,None,False,40,65,95,60,45,35,340,Poison/None,1,1,Underpowered
#0110,Weezing,Poison,None,Levitate, Neutralizing,Stench,Amorphous,None,False,65,90,120,85,70,60,490,Poison/None,2,2,balanced
#0111,Rhyhorn,Ground,Rock,Lightning, Rock,Reckless,Monster, Field,False,80,85,95,30,30,25,345,Ground/Rock,1,2,balanced
#0112,Rhydon,Ground,Rock,Lightning, Rock,Reckless,Monster, Field,False,105,130,120,45,45,40,485,Ground/Rock,2,2,balanced
#0113,Chansey,Normal,None,Natural, Serene,Healer,Fairy,None,False,250,5,5,35,105,50,450,Normal/None,2,2,balanced
#0114,Tangela,Grass,None,Chlorophyll, Leaf,Regenerator,Grass,None,False,65,55,115,100,40,60,435,Grass/None,2,2,balanced
#0115,Kangaskhan,Normal,None,Early, Scrappy,Inner Focus,Monster,None,False,105,95,80,40,80,90,490,Normal/None,2,0,Tank
#0116,Horsea,Water,None,Swift, Sniper,Damp,Water 1, Dragon,False,30,40,70,70,25,60,295,Water/None,1,1,Underpowered
#0117,Seadra,Water,None,Poison, Sniper,Damp,Water 1, Dragon,False,55,65,95,95,45,85,440,Water/None,3,3,Fast Sweeper
#0118,Goldeen,Water,None,Swift, Water,Lightning Rod,Water 2,None,False,45,67,60,35,50,63,320,Water/None,1,1,Underpowered
#0119,Seaking,Water,None,Swift, Water,Lightning Rod,Water 2,None,False,80,92,65,65,80,68,450,Water/None,3,0,Tank
#0120,Staryu,Water,None,Illuminate, Natural,Analytic,Water 3,None,False,30,45,55,70,55,85,340,Water/None,1,1,Underpowered
#0121,Starmie,Water,Psychic,Illuminate, Natural,Analytic,Water 3,None,False,60,75,85,100,85,115,520,Water/Psychic,3,3,Fast Sweeper
#0122,Mr. Mime,Psychic,Fairy,Soundproof, Filter,Technician,Human-Like,None,False,40,45,65,100,120,90,460,Psychic/Fairy,3,3,Fast Sweeper
#0123,Scyther,Bug,Flying,Swarm, Technician,Steadfast,Bug,None,False,70,110,80,55,80,105,500,Bug/Flying,3,0,Tank
#0124,Jynx,Ice,Psychic,Oblivious, Forewarn,Dry Skin,Human-Like,None,False,65,50,35,115,95,95,455,Ice/Psychic,3,3,Fast Sweeper
#0125,Electabuzz,Electric,None,Static,None,Vital Spirit,Human-Like,None,False,65,83,57,95,85,105,490,Electric/None,3,3,Fast Sweeper
#0126,Magmar,Fire,None,Flame,None,Vital Spirit,Human-Like,None,False,65,95,57,100,85,93,495,Fire/None,3,3,Fast Sweeper
#0127,Pinsir,Bug,None,Hyper, Mold,Moxie,Bug,None,False,65,125,100,55,70,85,500,Bug/None,2,0,Tank
#0128,Tauros,Normal,None,Intimidate, Anger,Sheer Force,Field,None,False,75,100,95,40,70,110,490,Normal/None,3,0,Tank
#0129,Magikarp,Water,None,Swift,None,Rattled,Water 2, Dragon,False,20,10,55,15,20,80,200,Water/None,1,1,Underpowered
#0130,Gyarados,Water,Flying,Intimidate,None,Moxie,Water 2, Dragon,False,95,125,79,60,100,81,540,Water/Flying,0,0,Tank
#0131,Lapras,Water,Ice,Water, Shell,Hydration,Monster, Water 1,False,130,85,80,85,95,60,535,Water/Ice,2,0,Tank
#0132,Ditto,Normal,None,Limber,None,Imposter,Ditto,None,False,48,48,48,48,48,48,288,Normal/None,1,1,Underpowered
#0133,Eevee,Normal,None,Run, Adaptability,Anticipation,Field,None,False,55,55,50,45,65,55,325,Normal/None,1,1,Underpowered
#0134,Vaporeon,Water,None,Water,None,Hydration,Field,None,False,130,65,60,110,95,65,525,Water/None,0,0,Tank
#0135,Jolteon,Electric,None,Volt,None,Quick Feet,Field,None,False,65,65,60,110,95,130,525,Electric/None,3,3,Fast Sweeper
#0136,Flareon,Fire,None,Flash,None,Guts,Field,None,False,65,130,60,95,110,65,525,Fire/None,0,0,Tank
#0137,Porygon,Normal,None,Trace, Download,Analytic,Mineral,None,False,65,60,70,85,75,40,395,Normal/None,3,2,balanced
#0138,Omanyte,Rock,Water,Swift, Shell,Weak Armor,Water 1, Water 3,False,35,40,100,90,55,35,355,Rock/Water,1,1,Underpowered
#0139,Omastar,Rock,Water,Swift, Shell,Weak Armor,Water 1, Water 3,False,70,60,125,115,70,55,495,Rock/Water,2,2,balanced
#0140,Kabuto,Rock,Water,Swift, Battle,Weak Armor,Water 1, Water 3,False,30,80,90,55,45,55,355,Rock/Water,1,1,Underpowered
#0141,Kabutops,Rock,Water,Swift, Battle,Weak Armor,Water 1, Water 3,False,60,115,105,65,70,80,495,Rock/Water,2,0,Tank
#0142,Aerodactyl,Rock,Flying,Rock, Pressure,Unnerve,Flying,None,False,80,105,65,60,75,130,515,Rock/Flying,3,3,Fast Sweeper
#0143,Snorlax,Normal,None,Immunity, Thick,Gluttony,Monster,None,False,160,110,65,65,110,30,540,Normal/None,2,2,balanced
#0144,Articuno,Ice,Flying,Pressure,None,Snow Cloak,None,None,True,90,85,100,95,125,85,580,Ice/Flying,0,0,Tank
#0145,Zapdos,Electric,Flying,Pressure,None,Static,None,None,True,90,90,85,125,90,100,580,Electric/Flying,0,0,Tank
#0146,Moltres,Fire,Flying,Pressure,None,Flame Body,None,None,True,90,100,90,125,85,90,580,Fire/Flying,0,0,Tank
#0147,Dratini,Dragon,None,Shed,None,Marvel Scale,Water 1, Dragon,False,41,64,45,50,50,50,300,Dragon/None,1,1,Underpowered
#0148,Dragonair,Dragon,None,Shed,None,Marvel Scale,Water 1, Dragon,False,61,84,65,70,70,70,420,Dragon/None,3,3,Fast Sweeper
#0149,Dragonite,Dragon,Flying,Inner,None,Multiscale,Water 1, Dragon,False,91,134,95,100,100,80,600,Dragon/Flying,0,0,Tank
#0150,Mewtwo,Psychic,None,Pressure,None,Unnerve,None,None,True,106,110,90,154,90,130,680,Psychic/None,0,0,Tank
#0151,Mew,Psychic,None,Synchronize,None,None,None,None,False,100,100,100,100,100,100,600,Psychic/None,0,0,Tank
#0152,Chikorita,Grass,None,Overgrow,None,Leaf Guard,Monster, Grass,False,45,49,65,49,65,45,318,Grass/None,1,1,Underpowered
#0153,Bayleef,Grass,None,Overgrow,None,Leaf Guard,Monster, Grass,False,60,62,80,63,80,60,405,Grass/None,2,1,Underpowered
#0154,Meganium,Grass,None,Overgrow,None,Leaf Guard,Monster, Grass,False,80,82,100,83,100,80,525,Grass/None,2,0,Tank
#0155,Cyndaquil,Fire,None,Blaze,None,Flash Fire,Field,None,False,39,52,43,60,50,65,309,Fire/None,1,1,Underpowered
#0156,Quilava,Fire,None,Blaze,None,Flash Fire,Field,None,False,58,64,58,80,65,80,405,Fire/None,3,3,Fast Sweeper
#0157,Typhlosion,Fire,None,Blaze,None,Flash Fire,Field,None,False,78,84,78,109,85,100,534,Fire/None,0,0,Tank
#0158,Totodile,Water,None,Torrent,None,Sheer Force,Monster, Water 1,False,50,65,64,44,48,43,314,Water/None,1,1,Underpowered
#0159,Croconaw,Water,None,Torrent,None,Sheer Force,Monster, Water 1,False,65,80,80,59,63,58,405,Water/None,2,2,balanced
#0160,Feraligatr,Water,None,Torrent,None,Sheer Force,Monster, Water 1,False,85,105,100,79,83,78,530,Water/None,2,0,Tank
#0161,Sentret,Normal,None,Run, Keen,Frisk,Field,None,False,35,46,34,35,45,20,215,Normal/None,1,1,Underpowered
#0162,Furret,Normal,None,Run, Keen,Frisk,Field,None,False,85,76,64,45,55,90,415,Normal/None,3,3,Fast Sweeper
#0163,Hoothoot,Normal,Flying,Insomnia, Keen,Tinted Lens,Flying,None,False,60,30,30,36,56,50,262,Normal/Flying,1,1,Underpowered
#0164,Noctowl,Normal,Flying,Insomnia, Keen,Tinted Lens,Flying,None,False,100,50,50,76,96,70,442,Normal/Flying,3,3,Fast Sweeper
#0165,Ledyba,Bug,Flying,Swarm, Early,Rattled,Bug,None,False,40,20,30,40,80,55,265,Bug/Flying,1,1,Underpowered
#0166,Ledian,Bug,Flying,Swarm, Early,Iron Fist,Bug,None,False,55,35,50,55,110,85,390,Bug/Flying,3,3,Fast Sweeper
#0167,Spinarak,Bug,Poison,Swarm, Insomnia,Sniper,Bug,None,False,40,60,40,40,40,30,250,Bug/Poison,1,1,Underpowered
#0168,Ariados,Bug,Poison,Swarm, Insomnia,Sniper,Bug,None,False,70,90,70,60,60,40,390,Bug/Poison,2,2,balanced
#0169,Crobat,Poison,Flying,Inner,None,Infiltrator,Flying,None,False,85,90,80,70,80,130,535,Poison/Flying,0,3,Fast Sweeper
#0170,Chinchou,Water,Electric,Volt, Illuminate,Water Absorb,Water 2,None,False,75,38,38,56,56,67,330,Water/Electric,1,1,Underpowered
#0171,Lanturn,Water,Electric,Volt, Illuminate,Water Absorb,Water 2,None,False,125,58,58,76,76,67,460,Water/Electric,3,0,Tank
#0172,Pichu,Electric,None,Static,None,Lightning Rod,No Eggs Discovered,None,False,20,40,15,35,35,60,205,Electric/None,1,1,Underpowered
#0173,Cleffa,Fairy,None,Cute, Magic,Friend Guard,No Eggs Discovered,None,False,50,25,28,45,55,15,218,Fairy/None,1,1,Underpowered
#0174,Igglybuff,Normal,Fairy,Cute, Competitive,Friend Guard,No Eggs Discovered,None,False,90,30,15,40,20,15,210,Normal/Fairy,1,1,Underpowered
#0175,Togepi,Fairy,None,Hustle, Serene,Super Luck,No Eggs Discovered,None,False,35,20,65,40,65,20,245,Fairy/None,1,1,Underpowered
#0176,Togetic,Fairy,Flying,Hustle, Serene,Super Luck,Flying, Fairy,False,55,40,85,80,105,40,405,Fairy/Flying,2,2,balanced
#0177,Natu,Psychic,Flying,Synchronize, Early,Magic Bounce,Flying,None,False,40,50,45,70,45,70,320,Psychic/Flying,1,1,Underpowered
#0178,Xatu,Psychic,Flying,Synchronize, Early,Magic Bounce,Flying,None,False,65,75,70,95,70,95,470,Psychic/Flying,3,3,Fast Sweeper
#0179,Mareep,Electric,None,Static,None,Plus,Monster, Field,False,55,40,40,65,45,35,280,Electric/None,1,1,Underpowered
#0180,Flaaffy,Electric,None,Static,None,Plus,Monster, Field,False,70,55,55,80,60,45,365,Electric/None,1,1,Underpowered
#0181,Ampharos,Electric,None,Static,None,Plus,Monster, Field,False,90,75,75,115,90,55,500,Electric/None,0,0,Tank
#0182,Bellossom,Grass,None,Chlorophyll,None,Healer,Grass,None,False,75,80,85,90,100,50,480,Grass/None,2,2,balanced
#0183,Marill,Water,Fairy,Thick, Huge,Sap Sipper,Water 1, Fairy,False,70,20,50,20,50,40,250,Water/Fairy,1,1,Underpowered
#0184,Azumarill,Water,Fairy,Thick, Huge,Sap Sipper,Water 1, Fairy,False,100,50,80,50,80,50,410,Water/Fairy,2,2,balanced
#0185,Sudowoodo,Rock,None,Sturdy, Rock,Rattled,Mineral,None,False,70,100,115,30,65,30,410,Rock/None,2,2,balanced
#0186,Politoed,Water,None,Water, Damp,Drizzle,Water 1,None,False,90,75,75,90,100,70,500,Water/None,2,0,Tank
#0187,Hoppip,Grass,Flying,Chlorophyll, Leaf,Infiltrator,Fairy, Grass,False,35,35,40,35,55,50,250,Grass/Flying,1,1,Underpowered
#0188,Skiploom,Grass,Flying,Chlorophyll, Leaf,Infiltrator,Fairy, Grass,False,55,45,50,45,65,80,340,Grass/Flying,1,1,Underpowered
#0189,Jumpluff,Grass,Flying,Chlorophyll, Leaf,Infiltrator,Fairy, Grass,False,75,55,70,55,85,110,450,Grass/Flying,3,3,Fast Sweeper
#0190,Aipom,Normal,None,Run, Pickup,Skill Link,Field,None,False,55,70,55,40,55,85,360,Normal/None,1,1,Underpowered
#0191,Sunkern,Grass,None,Chlorophyll, Solar,Early Bird,Grass,None,False,30,30,30,30,30,30,180,Grass/None,1,1,Underpowered
#0192,Sunflora,Grass,None,Chlorophyll, Solar,Early Bird,Grass,None,False,75,75,55,105,85,30,425,Grass/None,3,2,balanced
#0193,Yanma,Bug,Flying,Speed, Compound,Frisk,Bug,None,False,65,65,45,75,45,95,390,Bug/Flying,3,3,Fast Sweeper
#0194,Wooper,Water,Ground,Damp, Water,Unaware,Water 1, Field,False,55,45,45,25,25,15,210,Water/Ground,1,1,Underpowered
